"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","Italy",2020-01-22,0,0,0,0,22,1,1750,1740,1.00574712643678
"2","Italy",2020-01-23,0,0,0,0,23,1,1836,1886,0.973488865323436
"3","Italy",2020-01-24,0,0,0,0,24,1,1872,2169,0.863070539419087
"4","Italy",2020-01-25,0,0,0,0,25,1,1943,1796,1.08184855233853
"5","Italy",2020-01-26,0,0,0,0,26,1,1782,2102,0.847764034253092
"6","Italy",2020-01-27,0,0,0,0,27,1,2084,2082,1.00096061479347
"7","Italy",2020-01-28,0,0,0,0,28,1,2005,1683,1.19132501485443
"8","Italy",2020-01-29,0,0,0,0,29,1,1753,1695,1.03421828908555
"9","Italy",2020-01-30,0,0,0,0,30,1,1763,1879,0.938265034592869
"10","Italy",2020-01-31,2,0,0,2,31,1,1884,2140,0.880373831775701
"11","Italy",2020-02-01,2,0,0,2,1,2,2097,1814,1.15600882028666
"12","Italy",2020-02-02,2,0,0,2,2,2,1854,2096,0.884541984732824
"13","Italy",2020-02-03,2,0,0,2,3,2,2052,2053,0.999512907939601
"14","Italy",2020-02-04,2,0,0,2,4,2,1919,1716,1.11829836829837
"15","Italy",2020-02-05,2,0,0,2,5,2,1818,1788,1.01677852348993
"16","Italy",2020-02-06,2,0,0,2,6,2,1852,1927,0.961079398028023
"17","Italy",2020-02-07,3,0,0,3,7,2,1944,2236,0.869409660107335
"18","Italy",2020-02-08,3,0,0,3,8,2,2196,1918,1.14494264859228
"19","Italy",2020-02-09,3,0,0,3,9,2,1951,2038,0.957311089303238
"20","Italy",2020-02-10,3,0,0,3,10,2,1967,2030,0.968965517241379
"21","Italy",2020-02-11,3,0,0,3,11,2,1987,1836,1.0822440087146
"22","Italy",2020-02-12,3,0,0,3,12,2,1882,1854,1.0151024811219
"23","Italy",2020-02-13,3,0,0,3,13,2,1884,2043,0.922173274596182
"24","Italy",2020-02-14,3,0,0,3,14,2,2045,2312,0.884515570934256
"25","Italy",2020-02-15,3,0,0,3,15,2,2193,2026,1.08242843040474
"26","Italy",2020-02-16,3,0,0,3,16,2,2002,2193,0.912904696762426
"27","Italy",2020-02-17,3,0,0,3,17,2,2172,2240,0.969642857142857
"28","Italy",2020-02-18,3,0,0,3,18,2,2161,1951,1.10763710917478
"29","Italy",2020-02-19,3,0,0,3,19,2,1936,1963,0.986245542536933
"30","Italy",2020-02-20,3,0,0,3,20,2,1979,2110,0.937914691943128
"31","Italy",2020-02-21,20,0,1,19,21,2,2066,2345,0.881023454157782
"32","Italy",2020-02-22,62,1,2,59,22,2,2284,2070,1.10338164251208
"33","Italy",2020-02-23,155,2,3,150,23,2,2014,2234,0.901521933751119
"34","Italy",2020-02-24,229,1,7,221,24,2,2201,2256,0.975620567375887
"35","Italy",2020-02-25,322,1,10,311,25,2,2185,1823,1.19857377948437
"36","Italy",2020-02-26,453,3,12,438,26,2,1942,1921,1.01093180635086
"37","Italy",2020-02-27,655,45,17,593,27,2,1930,2016,0.95734126984127
"38","Italy",2020-02-28,888,46,21,821,28,2,2062,2242,0.91971454058876
"39","Italy",2020-02-29,1128,46,29,1053,NA,NA,NA,NA,NA
"40","Italy",2020-03-01,1694,83,34,1577,1,3,2258,2083,1.08401344215074
"41","Italy",2020-03-02,2036,149,52,1835,2,3,2038,2053,0.992693619094009
"42","Italy",2020-03-03,2502,160,79,2263,3,3,2216,1730,1.28092485549133
"43","Italy",2020-03-04,3089,276,107,2706,4,3,2185,1692,1.29137115839243
"44","Italy",2020-03-05,3858,414,148,3296,5,3,1947,1724,1.12935034802784
"45","Italy",2020-03-06,4636,523,197,3916,6,3,1908,1914,0.996865203761755
"46","Italy",2020-03-07,5883,589,233,5061,7,3,2023,1689,1.19775014801658
"47","Italy",2020-03-08,7375,622,366,6387,8,3,2221,1718,1.29278230500582
"48","Italy",2020-03-09,9172,724,463,7985,9,3,2005,1453,1.3799036476256
"49","Italy",2020-03-10,10149,724,631,8794,10,3,2173,977,2.22415557830092
"50","Italy",2020-03-11,12462,1045,827,10590,11,3,2192,658,3.33130699088146
"51","Italy",2020-03-12,12462,1045,827,10590,12,3,1978,651,3.0384024577573
"52","Italy",2020-03-13,17660,1439,1266,14955,13,3,1886,660,2.85757575757576
"53","Italy",2020-03-14,21157,1966,1441,17750,14,3,1984,210,9.44761904761905
"54","Italy",2020-03-15,24747,2335,1809,20603,15,3,2185,217,10.0691244239631
"55","Italy",2020-03-16,27980,2749,2158,23073,16,3,1972,215,9.17209302325581
"56","Italy",2020-03-17,31506,2941,2503,26062,17,3,2147,225,9.54222222222222
"57","Italy",2020-03-18,35713,4025,2978,28710,18,3,2144,199,10.7738693467337
"58","Italy",2020-03-19,41035,4440,3405,33190,19,3,1934,214,9.03738317757009
"59","Italy",2020-03-20,47021,4440,4032,38549,20,3,1926,212,9.08490566037736
"60","Italy",2020-03-21,53578,6072,4825,42681,21,3,2094,147,14.2448979591837
"61","Italy",2020-03-22,59138,7024,5476,46638,22,3,2268,132,17.1818181818182
"62","Italy",2020-03-23,63927,7024,6077,50826,23,3,2037,147,13.8571428571429
"63","Italy",2020-03-24,69176,8326,6820,54030,24,3,2236,160,13.975
"64","Italy",2020-03-25,74386,9362,7503,57521,25,3,2075,162,12.8086419753086
"65","Italy",2020-03-26,80589,10361,8215,62013,26,3,1964,145,13.5448275862069
"66","Italy",2020-03-27,86498,10950,9134,66414,27,3,2024,155,13.058064516129
"67","Italy",2020-03-28,92472,12384,10023,70065,28,3,2071,114,18.1666666666667
"68","Italy",2020-03-29,97689,13030,10779,73880,29,3,2288,125,18.304
"69","Italy",2020-03-30,101739,14620,11591,75528,30,3,1987,114,17.4298245614035
"70","Italy",2020-03-31,105792,15729,12428,77635,31,3,2620,108,24.2592592592593
"71","Italy",2020-04-01,110574,16847,13155,80572,1,4,2748,135,20.3555555555556
"72","Italy",2020-04-02,115242,18278,13915,83049,2,4,2649,122,21.7131147540984
"73","Italy",2020-04-03,119827,19758,14681,85388,3,4,2742,118,23.2372881355932
"74","Italy",2020-04-04,124632,20996,15362,88274,4,4,2704,104,26
"75","Italy",2020-04-05,128948,21815,15887,91246,5,4,2897,99,29.2626262626263
"76","Italy",2020-04-06,132547,22837,16523,93187,6,4,2651,109,24.3211009174312
"77","Italy",2020-04-07,135586,24392,17127,94067,7,4,2876,110,26.1454545454545
"78","Italy",2020-04-08,139422,26491,17669,95262,8,4,2831,121,23.396694214876
"79","Italy",2020-04-09,143626,28470,18279,96877,9,4,2713,110,24.6636363636364
"80","Italy",2020-04-10,147577,30455,18849,98273,10,4,2886,107,26.9719626168224
"81","Italy",2020-04-11,152271,32534,19468,100269,11,4,2922,82,35.6341463414634
"82","Italy",2020-04-12,156363,34211,19899,102253,12,4,3116,62,50.258064516129
"83","Italy",2020-04-13,159516,35435,20465,103616,13,4,2958,72,41.0833333333333
"84","Italy",2020-04-14,162488,37130,21067,104291,14,4,3098,98,31.6122448979592
"85","Italy",2020-04-15,165155,38092,21645,105418,15,4,3012,126,23.9047619047619
"86","Italy",2020-04-16,168941,40164,22170,106607,16,4,2856,110,25.9636363636364
"87","Italy",2020-04-17,172434,42727,22745,106962,17,4,2980,125,23.84
"88","Italy",2020-04-18,175925,44927,23227,107771,18,4,2976,79,37.6708860759494
"89","Italy",2020-04-19,178972,47055,23660,108257,19,4,3141,98,32.0510204081633
"90","Italy",2020-04-20,181228,48877,24114,108237,20,4,2941,114,25.7982456140351
"91","Italy",2020-04-21,183957,51600,24648,107709,21,4,2921,116,25.1810344827586
"92","Italy",2020-04-22,187327,54543,25085,107699,22,4,2953,107,27.5981308411215
"93","Italy",2020-04-23,189973,57576,25549,106848,23,4,2816,124,22.7096774193548
"94","Italy",2020-04-24,192994,60498,25969,106527,24,4,2894,131,22.0916030534351
"95","Italy",2020-04-25,195351,63120,26384,105847,25,4,2831,86,32.9186046511628
"96",NA,2020-01-01,NA,NA,NA,NA,1,1,1827,1953,0.935483870967742
"97",NA,2020-01-02,NA,NA,NA,NA,2,1,2064,2324,0.888123924268503
"98",NA,2020-01-03,NA,NA,NA,NA,3,1,2058,2379,0.865069356872636
"99",NA,2020-01-04,NA,NA,NA,NA,4,1,2052,2198,0.933575978161965
"100",NA,2020-01-05,NA,NA,NA,NA,5,1,1926,2396,0.803839732888147
"101",NA,2020-01-06,NA,NA,NA,NA,6,1,2129,2315,0.919654427645788
"102",NA,2020-01-07,NA,NA,NA,NA,7,1,1954,1991,0.981416373681567
"103",NA,2020-01-08,NA,NA,NA,NA,8,1,1701,1931,0.880890730191611
"104",NA,2020-01-09,NA,NA,NA,NA,9,1,1764,1988,0.887323943661972
"105",NA,2020-01-10,NA,NA,NA,NA,10,1,1750,2238,0.781948168007149
"106",NA,2020-01-11,NA,NA,NA,NA,11,1,1661,1874,0.886339381003202
"107",NA,2020-01-12,NA,NA,NA,NA,12,1,1647,2151,0.765690376569038
"108",NA,2020-01-13,NA,NA,NA,NA,13,1,1915,2085,0.918465227817746
"109",NA,2020-01-14,NA,NA,NA,NA,14,1,1896,1435,1.3212543554007
"110",NA,2020-01-15,NA,NA,NA,NA,15,1,1622,1739,0.93271995399655
"111",NA,2020-01-16,NA,NA,NA,NA,16,1,1753,1870,0.937433155080214
"112",NA,2020-01-17,NA,NA,NA,NA,17,1,1914,2160,0.886111111111111
"113",NA,2020-01-18,NA,NA,NA,NA,18,1,2151,1804,1.19235033259424
"114",NA,2020-01-19,NA,NA,NA,NA,19,1,1856,2094,0.886341929321872
"115",NA,2020-01-20,NA,NA,NA,NA,20,1,2120,2059,1.0296260320544
"116",NA,2020-01-21,NA,NA,NA,NA,21,1,2019,1702,1.18625146886016
